facility_id,program_type,facility_status,facility_name,city,zip_code,school_district_name,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capcity,total_capacity
476740,SACC,Registration,"Town of Wallkill Boys and Girls Club, Inc.",Monticello,12701,Monticello,0,0,0,180,0,180
588591,FDC,Registration,"Vantassell, Heather",Johnson City,13790,Johnson City,0,0,0,2,6,8
157721,GFDC,License,"Korzep, Edyta",Brooklyn,11222,Brooklyn 14,0,0,0,4,12,16
71684,GFDC,License,"Bellamy, Lillie",Staten Island,10303,Richmond 31,0,0,0,4,12,16
753936,GFDC,License,Light Ray Family Group Daycare,Bronx,10472,Bronx 12,0,0,0,4,12,16
489103,GFDC,License,Growing Happy Group Family Day Care III INC.,New York,10040,Manhattan 6,0,0,0,4,12,16
142437,DCC,License,"Cortland County Community Action Program, Inc.",Cortland,13045,Homer,0,0,36,0,0,36
525032,SACC,Registration,Booker T. Washington Community Center of Auburn,Auburn,13021,Auburn,0,0,0,79,0,79
768789,DCC,License,Blossoming Minds,Fishkill,12524,Wappingers,8,12,0,0,0,20
842954,DCC,License,Great Bear Childcare LLC,Phoenix,13135,Phoenix,16,10,14,10,0,50
760881,GFDC,License,"MY HAPPY PLACE DAYCARE, LLC",Seaford,11783,Seaford,0,0,0,4,12,16
675422,FDC,Registration,"Lyke, Mary",Bridgeport,13030,Chittenango,0,0,0,2,6,8
870295,SACC,Registration,TODOS MIS HIJOS INC.,Queens,11368,Queens 24,0,0,0,52,0,52
737116,GFDC,License,Kids Playce,Norwood,13668,Norwood-Norfolk,0,0,0,4,12,16
620316,GFDC,License,My Little Sunshine Day Care Inc.,Port Washington,11050,Port Washington,0,0,0,4,12,16
73829,SACC,Registration,"The College of Staten Island Association, Inc.",Staten Island,10314,Richmond 31,0,0,0,40,0,40
652845,GFDC,License,The Nurtury Montessori at North Avenue LLC,New Rochelle,10804,New Rochelle,0,0,0,4,12,16
245773,SACC,Registration,Good Shepherd Services,Bronx,10453,Bronx 10,0,0,0,313,0,313
774623,FDC,Registration,Jumping Beans Registered Daycare,Brownville,13615,General Brown,0,0,0,2,6,8
