month,division,line,day_type,num_sched_trains,num_actual_trains,service_delivered
2023-12,B DIVISION,M,1,700,659,0.941428571
2023-12,B DIVISION,N,2,1600,1505,0.940625
2023-12,B DIVISION,N,1,1809,1594,0.881149807
2023-12,B DIVISION,Q,2,2154,2089,0.969823584
2023-12,B DIVISION,Q,1,2061,1860,0.902474527
2023-12,B DIVISION,R,1,2140,1866,0.871962617
2023-12,B DIVISION,R,2,1120,1063,0.949107143
2023-12,B DIVISION,S Fkln,2,880,867,0.985227273
2023-12,B DIVISION,S Fkln,1,720,710,0.986111111
2023-12,B DIVISION,S Rock,2,564,544,0.964539007
2023-12,B DIVISION,S Rock,1,420,424,1.00952381
2023-12,B DIVISION,W,1,780,670,0.858974359
2023-12,Systemwide,Systemwide,1,42029,38434,0.914463823
2023-12,Systemwide,Systemwide,2,33761,32144,0.952104499
2023-11,A DIVISION,1,2,958,929,0.969728601
2023-11,A DIVISION,1,1,1764,1691,0.95861678
2023-11,A DIVISION,2,1,2331,2161,0.927069927
2023-11,A DIVISION,2,2,1280,1194,0.9328125
2023-11,A DIVISION,3,1,2163,2062,0.953305594
2023-11,A DIVISION,3,2,960,926,0.964583333
2023-11,A DIVISION,4,1,2894,2764,0.955079475
2023-11,A DIVISION,4,2,1908,1798,0.942348008
2023-11,A DIVISION,5,2,1574,1514,0.961880559
2023-11,A DIVISION,5,1,2709,2490,0.919158361
2023-11,A DIVISION,6,2,1076,1020,0.94795539
2023-11,A DIVISION,6,1,2163,2025,0.936199723
2023-11,A DIVISION,7,1,2814,2629,0.934257285
2023-11,A DIVISION,7,2,928,910,0.980603448
2023-11,A DIVISION,S 42nd,2,1365,1363,0.998534799
2023-11,A DIVISION,S 42nd,1,2121,2113,0.996228194
2023-11,B DIVISION,A,1,2688,2503,0.931175595
2023-11,B DIVISION,A,2,1528,1427,0.933900524
2023-11,B DIVISION,B,1,1752,1623,0.926369863
2023-11,B DIVISION,C,1,1575,1438,0.913015873
2023-11,B DIVISION,C,2,1280,1219,0.95234375
2023-11,B DIVISION,D,1,1911,1814,0.949241235
2023-11,B DIVISION,D,2,1280,1208,0.94375
2023-11,B DIVISION,E,2,720,676,0.938888889
2023-11,B DIVISION,E,1,1554,1437,0.924710425
2023-11,B DIVISION,F,2,1280,1201,0.93828125
2023-11,B DIVISION,F,1,3003,2725,0.907425907
2023-11,B DIVISION,G,2,1558,1487,0.954428755
2023-11,B DIVISION,G,1,945,931,0.985185185
2023-11,B DIVISION,JZ,2,852,843,0.98943662
2023-11,B DIVISION,JZ,1,1071,996,0.929971989
2023-11,B DIVISION,L,2,1384,1332,0.962427746
2023-11,B DIVISION,L,1,2015,1947,0.966253102
2023-11,B DIVISION,M,2,220,219,0.995454545
2023-11,B DIVISION,M,1,735,734,0.998639456
2023-11,B DIVISION,N,2,1085,1006,0.92718894
2023-11,B DIVISION,N,1,1890,1739,0.92010582
2023-11,B DIVISION,Q,2,1715,1623,0.946355685
2023-11,B DIVISION,Q,1,2151,1960,0.911204091
2023-11,B DIVISION,R,1,2226,2070,0.929919137
2023-11,B DIVISION,R,2,1282,1225,0.955538222
2023-11,B DIVISION,S Fkln,2,704,704,1
2023-11,B DIVISION,S Fkln,1,756,753,0.996031746
2023-11,B DIVISION,S Rock,1,441,443,1.004535147
2023-11,B DIVISION,S Rock,2,451,444,0.984478936
2023-11,B DIVISION,W,1,819,746,0.910866911
2023-11,Systemwide,Systemwide,2,25388,24268,0.95588467
2023-11,Systemwide,Systemwide,1,44491,41794,0.939380998
2023-10,A DIVISION,1,1,1848,1778,0.962121212
2023-10,A DIVISION,1,2,1124,1052,0.93594306
2023-10,A DIVISION,2,1,2441,2237,0.916427694
2023-10,A DIVISION,2,2,1581,1519,0.960784314
2023-10,A DIVISION,3,2,1120,1079,0.963392857
2023-10,A DIVISION,3,1,2266,2114,0.932921447
2023-10,A DIVISION,4,1,3036,2857,0.941040843
2023-10,A DIVISION,4,2,2143,2027,0.945870275
2023-10,A DIVISION,5,1,2816,2586,0.918323864
2023-10,A DIVISION,5,2,1148,1073,0.93466899
2023-10,A DIVISION,6,2,1175,1119,0.952340426
2023-10,A DIVISION,6,1,2266,2147,0.947484554
2023-10,A DIVISION,7,1,2948,2739,0.929104478
2023-10,A DIVISION,7,2,1216,1174,0.965460526
2023-10,A DIVISION,S 42nd,1,2222,2223,1.000450045
2023-10,A DIVISION,S 42nd,2,1539,1533,0.996101365
2023-10,B DIVISION,A,1,2816,2628,0.933238636
2023-10,B DIVISION,A,2,1574,1492,0.947903431
2023-10,B DIVISION,B,1,1843,1741,0.944655453
2023-10,B DIVISION,C,1,1650,1503,0.910909091
2023-10,B DIVISION,C,2,1320,1149,0.870454545
2023-10,B DIVISION,D,2,1440,1296,0.9
2023-10,B DIVISION,D,1,2002,1846,0.922077922
2023-10,B DIVISION,E,2,720,656,0.911111111
2023-10,B DIVISION,E,1,1628,1506,0.925061425
2023-10,B DIVISION,F,2,1440,1343,0.932638889
2023-10,B DIVISION,F,1,3146,2817,0.895422759
2023-10,B DIVISION,G,2,1880,1818,0.967021277
2023-10,B DIVISION,G,1,990,963,0.972727273
2023-10,B DIVISION,JZ,2,755,711,0.941721854
2023-10,B DIVISION,JZ,1,1122,1062,0.946524064
2023-10,B DIVISION,L,2,1605,1567,0.976323988
2023-10,B DIVISION,L,1,2111,2064,0.97773567
2023-10,B DIVISION,M,2,760,731,0.961842105
2023-10,B DIVISION,M,1,770,756,0.981818182
2023-10,B DIVISION,N,2,1440,1363,0.946527778
2023-10,B DIVISION,N,1,1980,1859,0.938888889
2023-10,B DIVISION,Q,1,2265,2083,0.919646799
2023-10,B DIVISION,Q,2,864,783,0.90625
