year,month,day_of_week,hour_of_day,timestamp,origin_station_complex_id,origin_station_complex_name,origin_latitude,origin_longitude,destination_station_complex_id,destination_station_complex_name,destination_latitude,destination_longitude,estimated_average_ridership,origin_point,destination_point
2023,10,Tuesday,15,2023-10-03T15:00:00.000,77,Kings Hwy (N),40.603923,-73.980353,608,"4 Av (F,G)/9 St (R)",40.670559,-73.989041,0.5724,"{'type': 'Point', 'coordinates': [-73.980353, 40.603923]}","{'type': 'Point', 'coordinates': [-73.989041, 40.670559]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,151,"145 St (A,C,B,D)",40.824783,-73.944216,397,"86 St (4,5,6)",40.779492,-73.955589,4.2002,"{'type': 'Point', 'coordinates': [-73.944216, 40.824783]}","{'type': 'Point', 'coordinates': [-73.955589, 40.779492]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,96,Kosciuszko St (J),40.693342,-73.928814,157,"96 St (C,B)",40.791642,-73.964696,0.247,"{'type': 'Point', 'coordinates': [-73.928814, 40.693342]}","{'type': 'Point', 'coordinates': [-73.964696, 40.791642]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,614,"59 St-Columbus Circle (A,B,C,D,1)",40.768272,-73.981833,464,Vernon Blvd-Jackson Av (7),40.742626,-73.953581,12.3886,"{'type': 'Point', 'coordinates': [-73.981833, 40.768272]}","{'type': 'Point', 'coordinates': [-73.953581, 40.742626]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,635,"South Ferry (1)/Whitehall St (R,W)",40.702578,-74.013329,277,"7 Av (E,B,D)",40.762862,-73.981637,16.0322,"{'type': 'Point', 'coordinates': [-74.013329, 40.702578]}","{'type': 'Point', 'coordinates': [-73.981637, 40.762862]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,101,"Marcy Av (M,J,Z)",40.708359,-73.957757,86,Cypress Hills (J),40.689941,-73.87255,2.6004,"{'type': 'Point', 'coordinates': [-73.957757, 40.708359]}","{'type': 'Point', 'coordinates': [-73.87255, 40.689941]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,143,Inwood-207 St (A),40.868072,-73.919899,146,181 St (A),40.851695,-73.937969,15.7396,"{'type': 'Point', 'coordinates': [-73.919899, 40.868072]}","{'type': 'Point', 'coordinates': [-73.937969, 40.851695]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,218,"167 St (B,D)",40.833771,-73.91844,201,"Beach 98 St (A,S)",40.585307,-73.820558,0.2588,"{'type': 'Point', 'coordinates': [-73.91844, 40.833771]}","{'type': 'Point', 'coordinates': [-73.820558, 40.585307]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,385,176 St (4),40.84848,-73.911794,399,68 St-Hunter College (6),40.768141,-73.96387,3.1716,"{'type': 'Point', 'coordinates': [-73.911794, 40.84848]}","{'type': 'Point', 'coordinates': [-73.96387, 40.768141]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,118,3 Av (L),40.732849,-73.986122,630,"Myrtle-Wyckoff Avs (L,M)",40.699622,-73.911986,18.269,"{'type': 'Point', 'coordinates': [-73.986122, 40.732849]}","{'type': 'Point', 'coordinates': [-73.911986, 40.699622]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,305,137 St-City College (1),40.822008,-73.953676,224,57 St (F),40.763972,-73.97745,0.473,"{'type': 'Point', 'coordinates': [-73.953676, 40.822008]}","{'type': 'Point', 'coordinates': [-73.97745, 40.763972]}"
